id,beverage_type,brand_name,class_type,abv,proof,net_contents,producer_name_address,country_of_origin,image_filename
BEER-MATCH-01,malt_beverage,GREAT NOTION,HAZY IPA,7.4,,1 pint,"GREAT NOTION BREWING & BARREL HOUSE, PORTLAND OR",,1.png
BEER-MATCH-02,malt_beverage,GOOD PEOPLE BREWING COMPANY,SINGLE MALT & SINGLE HOP ALE,,,12 fl oz,"GOOD PEOPLE BREWING COMPANY, BIRMINGHAM AL",,2.jpg
BEER-MATCH-04,malt_beverage,TRIBUTARY BREWING CO.,GOAL AMBER LAGER,5.2,,5.16 gallon,"TRIBUTARY BREWING CO., KITTERY ME",,4.jpg
BEER-MATCH-06,malt_beverage,GREAT NOTION BREWING,MEXICAN STYLE LAGER,5.1,,1 pint,"GREAT NOTION BREWING & BARREL HOUSE, PORTLAND OR",,6.jpg
BEER-MATCH-09,malt_beverage,GREAT NOTION BREWING,ITALIAN STYLE PILSNER,5.1,,1 pint,"GREAT NOTION BREWING & BARREL HOUSE, PORTLAND OR",,9.jpg
