id,brand_name,class_type,abv,proof,net_contents,producer_name_address,country_of_origin,image_filename
1,SHARPTOP DISTILLING COMPANY,GRAIN NEUTRAL SPIRIT,40,80,1.75 L,"SHARPTOP DISTILLING COMPANY, JASPER GEORGIA",,1.png
5,SPIRITS OF THE ROCKIES,GRAIN NEUTRAL SPIRITS,40,80,750 mL,"SPIRITS OF THE ROCKIES, INC., PUEBLO COLORADO USA",,5.png
9,DREAD RIVER,GRAIN NEUTRAL SPIRITS,94,188,1.75 L,"DREAD RIVER DISTILLING CO., BIRMINGHAM AL",,9.png
12,STRIPPER,PREMIUM NEUTRAL SPIRITS,17,,750 mL,"PROOF ARTISAN DISTILLERS, FARGO ND",,12.png
17,BATTLEGROUND SPIRITS,AGAVE SPIRITS,40,80,750 mL,"SHARPTOP DISTILLING, JASPER GEORGIA",Mexico,17.jpg
