id,beverage_type,brand_name,class_type,abv,proof,net_contents,producer_name_address,country_of_origin,image_filename
WINE-MATCH-01,wine,CASCADE WINERY,RED WINE,11.5,,750 mL,"CASCADE WINERY, GRAND RAPIDS MI",,1.jpg
WINE-MATCH-02,wine,CASCADE WINERY,TABLE WINE,11.5,,750 mL,"CASCADE WINERY, GRAND RAPIDS MI",,2.jpg
WINE-MATCH-03,wine,PRINSI,RED TABLE WINE,14,,750 mL,"LE VIGNOBLE, CORDOVA TN",Italy,3.jpg
WINE-MATCH-04,wine,PRINSI,WHITE TABLE WINE,13.5,,750 mL,"LE VIGNOBLE, CORDOVA TN",Italy,4.jpg
WINE-MATCH-10,wine,LE RIVE,LANGHE NEBBIOLO,12.5,,1.5 L,"AZ VINICOLA CASETTA PIERLUIGI, MONTA PIEMONTE ITALIA",Italy,10.jpg
